size	stride	elapsed(s)	cycles	#accesses a[i]	 mean access time
4096	1	0.001051	1051	409600	2.565349
4096	2	0.001053	1053	409600	2.570823
4096	4	0.001038	1038	409600	2.534175
4096	8	0.001013	1012	409600	2.472605
4096	16	0.001126	1126	409600	2.749011
4096	32	0.001048	1047	409600	2.558711
4096	64	0.000889	887	409600	2.169348
4096	128	0.000833	833	409600	2.034402
4096	256	0.000830	831	409600	2.027031
4096	512	0.000848	848	409600	2.070706
4096	1024	0.000774	774	409600	1.890562
4096	2048	0.000792	792	409600	1.932942
8192	1	0.001891	1891	819200	2.308896
8192	2	0.001835	1835	819200	2.239955
8192	4	0.001938	1938	819200	2.366184
8192	8	0.001838	1838	819200	2.244045
8192	16	0.002134	2134	819200	2.605248
8192	32	0.001958	1957	819200	2.389701
8192	64	0.001849	1848	819200	2.256510
8192	128	0.001729	1729	819200	2.110538
8192	256	0.001703	1700	819200	2.079360
8192	512	0.001745	1745	819200	2.130270
8192	1024	0.001679	1678	819200	2.049097
8192	2048	0.001715	1715	819200	2.094091
8192	4096	0.001745	1744	819200	2.129857
16384	1	0.003773	3773	1638400	2.302715
16384	2	0.003804	3804	1638400	2.321913
16384	4	0.003813	3812	1638400	2.327192
16384	8	0.003636	3635	1638400	2.218940
16384	16	0.003758	3758	1638400	2.293921
16384	32	0.003730	3729	1638400	2.276523
16384	64	0.003796	3794	1638400	2.316993
16384	128	0.003709	3708	1638400	2.263529
16384	256	0.003465	3465	1638400	2.115076
16384	512	0.003361	3361	1638400	2.051354
16384	1024	0.003339	3339	1638400	2.038044
16384	2048	0.003522	3521	1638400	2.149524
16384	4096	0.003743	3743	1638400	2.284547
16384	8192	0.003497	3497	1638400	2.134455
32768	1	0.007489	7489	3276800	2.285455
32768	2	0.007775	7774	3276800	2.372800
32768	4	0.007296	7296	3276800	2.226484
32768	8	0.007485	7484	3276800	2.284309
32768	16	0.006725	6725	3276800	2.052216
32768	32	0.006689	6688	3276800	2.041300
32768	64	0.007522	7522	3276800	2.295604
32768	128	0.007430	7430	3276800	2.267501
32768	256	0.007308	7307	3276800	2.230193
