size	stride	elapsed(s)	cycles	#accesses a[i]	 mean access time
4096	1	0.000944	944	409600	2.303975
4096	2	0.000939	940	409600	2.292937
4096	4	0.000935	935	409600	2.282275
4096	8	0.000907	906	409600	2.213516
4096	16	0.000927	927	409600	2.263560
4096	32	0.000919	919	409600	2.243264
4096	64	0.000867	867	409600	2.116028
4096	128	0.000843	843	409600	2.057964
4096	256	0.000843	843	409600	2.058596
4096	512	0.000824	823	409600	2.011638
4096	1024	0.000797	798	409600	1.946848
4096	2048	0.000805	804	409600	1.964175
8192	1	0.001930	1930	819200	2.355804
8192	2	0.001959	1958	819200	2.390758
8192	4	0.001892	1892	819200	2.309319
8192	8	0.001843	1844	819200	2.250304
8192	16	0.001861	1861	819200	2.271724
8192	32	0.001861	1860	819200	2.271274
8192	64	0.001848	1847	819200	2.255378
8192	128	0.001729	1728	819200	2.110214
8192	256	0.001701	1700	819200	2.076398
8192	512	0.001724	1723	819200	2.104333
8192	1024	0.001673	1672	819200	2.042471
8192	2048	0.001721	1720	819200	2.101128
8192	4096	0.001767	1767	819200	2.157266
16384	1	0.003844	3844	1638400	2.346215
16384	2	0.003819	3819	1638400	2.330880
16384	4	0.003759	3759	1638400	2.294039
16384	8	0.003664	3664	1638400	2.236417
16384	16	0.003834	3834	1638400	2.340229
16384	32	0.003828	3827	1638400	2.336578
16384	64	0.003709	3709	1638400	2.263567
16384	128	0.003686	3686	1638400	2.249741
16384	256	0.003460	3460	1638400	2.111666
16384	512	0.003361	3361	1638400	2.051452
16384	1024	0.003388	3387	1638400	2.067792
16384	2048	0.003507	3508	1638400	2.140769
16384	4096	0.003653	3653	1638400	2.229913
16384	8192	0.003493	3492	1638400	2.131833
32768	1	0.007530	7529	3276800	2.297910
32768	2	0.007733	7733	3276800	2.359925
32768	4	0.007488	7487	3276800	2.285284
32768	8	0.007231	7230	3276800	2.206606
32768	16	0.007073	7073	3276800	2.158648
32768	32	0.007064	7062	3276800	2.155615
32768	64	0.006585	6585	3276800	2.009637
32768	128	0.007392	7392	3276800	2.256003
32768	256	0.007458	7457	3276800	2.275895
32768	512	0.006924	6924	3276800	2.112919
32768	1024	0.006703	6704	3276800	2.045700
32768	2048	0.006874	6874	3276800	2.097688
32768	4096	0.007350	7350	3276800	2.242935
32768	8192	0.007300	7300	3276800	2.227779
32768	16384	0.006985	6985	3276800	2.131752
65536	1	0.013434	13433	6553600	2.049799
65536	2	0.012749	12749	6553600	1.945273
65536	4	0.014690	14690	6553600	2.241512
65536	8	0.014917	14917	6553600	2.276144
65536	16	0.014491	14491	6553600	2.211084
65536	32	0.013943	13943	6553600	2.127535
65536	64	0.012214	12214	6553600	1.863736
65536	128	0.012310	12309	6553600	1.878311
65536	256	0.012435	12435	6553600	1.897471
65536	512	0.012633	12634	6553600	1.927668
65536	1024	0.012123	12123	6553600	1.849837
65536	2048	0.037053	37053	6553600	5.653839
65536	4096	0.032866	32866	6553600	5.014972
65536	8192	0.014072	14070	6553600	2.147222
65536	16384	0.013909	13908	6553600	2.122320
65536	32768	0.013316	13316	6553600	2.031891
131072	1	0.027894	27894	13107200	2.128151
131072	2	0.025057	25057	13107200	1.911708
131072	4	0.028528	28528	13107200	2.176534
131072	8	0.029341	29341	13107200	2.238511
131072	16	0.028732	28732	13107200	2.192090
131072	32	0.029058	29056	13107200	2.216945
131072	64	0.024954	24954	13107200	1.903805
131072	128	0.024465	24464	13107200	1.866518
131072	256	0.024635	24635	13107200	1.879516
131072	512	0.024959	24959	13107200	1.904238
131072	1024	0.025012	25012	13107200	1.908264
131072	2048	0.072068	72068	13107200	5.498377
131072	4096	0.105286	105286	13107200	8.032653
131072	8192	0.104128	104128	13107200	7.944299
131072	16384	0.028202	28201	13107200	2.151609
131072	32768	0.027997	27998	13107200	2.136037
131072	65536	0.026812	26812	13107200	2.045617
262144	1	0.055757	55756	26214400	2.126948
262144	2	0.051772	51772	26214400	1.974961
262144	4	0.059407	59407	26214400	2.266213
262144	8	0.060223	60223	26214400	2.297332
262144	16	0.059786	59786	26214400	2.280649
262144	32	0.056971	56971	26214400	2.173276
262144	64	0.054933	54933	26214400	2.095514
262144	128	0.059555	59555	26214400	2.271833
262144	256	0.067257	67257	26214400	2.565652
262144	512	0.069834	69833	26214400	2.663954
262144	1024	0.073143	73143	26214400	2.790165
262144	2048	0.149543	149543	26214400	5.704611
262144	4096	0.224779	224778	26214400	8.574621
262144	8192	0.214286	214286	26214400	8.174350
262144	16384	0.129717	129717	26214400	4.948299
262144	32768	0.056269	56269	26214400	2.146488
262144	65536	0.056344	56344	26214400	2.149362
262144	131072	0.053881	53881	26214400	2.055398
524288	1	0.107776	107776	52428800	2.055658
524288	2	0.101459	101459	52428800	1.935182
524288	4	0.112644	112644	52428800	2.148521
524288	8	0.113123	113123	52428800	2.157649
524288	16	0.111912	111912	52428800	2.134558
524288	32	0.108036	108036	52428800	2.060615
524288	64	0.107644	107644	52428800	2.053153
524288	128	0.127333	127333	52428800	2.428682
524288	256	0.154429	154428	52428800	2.945493
524288	512	0.159502	159503	52428800	3.042265
524288	1024	0.164078	164078	52428800	3.129540
524288	2048	0.293909	293909	52428800	5.605869
524288	4096	0.474907	474906	52428800	9.058125
524288	8192	0.456180	456179	52428800	8.700938
524288	16384	0.484942	484941	52428800	9.249527
524288	32768	0.332536	332536	52428800	6.342621
524288	65536	0.122845	122846	52428800	2.343091
524288	131072	0.117054	117055	52428800	2.232632
524288	262144	0.111249	111247	52428800	2.121898
1048576	1	0.220015	220015	104857600	2.098228
1048576	2	0.201246	201246	104857600	1.919232
1048576	4	0.239717	239717	104857600	2.286117
1048576	8	0.249394	249393	104857600	2.378402
1048576	16	0.246913	246913	104857600	2.354749
1048576	32	0.234967	234967	104857600	2.240821
1048576	64	0.228312	228312	104857600	2.177355
1048576	128	0.267735	267735	104857600	2.553319
1048576	256	0.342697	342697	104857600	3.268217
1048576	512	0.360999	360999	104857600	3.442757
1048576	1024	0.363346	363346	104857600	3.465134
1048576	2048	0.378927	378927	104857600	3.613728
1048576	4096	0.949790	949789	104857600	9.057900
1048576	8192	0.890945	890945	104857600	8.496717
1048576	16384	0.895001	895001	104857600	8.535394
1048576	32768	0.979573	979572	104857600	9.341935
1048576	65536	0.578673	578673	104857600	5.518656
1048576	131072	0.239827	239827	104857600	2.287168
1048576	262144	0.223384	223384	104857600	2.130354
1048576	524288	0.214000	214000	104857600	2.040863
2097152	1	0.424330	424329	209715200	2.023361
2097152	2	0.417574	417574	209715200	1.991149
2097152	4	0.485482	485483	209715200	2.314960
2097152	8	0.455962	455962	209715200	2.174198
2097152	16	0.451545	451545	209715200	2.153134
2097152	32	0.429825	429824	209715200	2.049564
2097152	64	0.442043	442043	209715200	2.107827
2097152	128	0.526424	526423	209715200	2.510184
2097152	256	0.654718	654718	209715200	3.121940
2097152	512	0.686800	686800	209715200	3.274918
2097152	1024	0.699979	699979	209715200	3.337760
2097152	2048	0.636183	636182	209715200	3.033555
2097152	4096	1.856239	1856239	209715200	8.851238
2097152	8192	1.792431	1792432	209715200	8.546978
2097152	16384	1.819878	1819878	209715200	8.677856
2097152	32768	1.807768	1807768	209715200	8.620107
2097152	65536	1.790512	1790512	209715200	8.537828
2097152	131072	1.154615	1154615	209715200	5.505633
2097152	262144	0.480721	480721	209715200	2.292258
2097152	524288	0.445721	445721	209715200	2.125365
2097152	1048576	0.427014	427015	209715200	2.036164
4194304	1	0.861461	861460	419430400	2.053883
4194304	2	0.829064	829064	419430400	1.976642
4194304	4	0.905438	905438	419430400	2.158733
4194304	8	0.911248	911247	419430400	2.172584
4194304	16	0.896468	896468	419430400	2.137347
4194304	32	0.868454	868453	419430400	2.070555
4194304	64	0.888217	888217	419430400	2.117674
4194304	128	1.082643	1082643	419430400	2.581221
4194304	256	1.351101	1351101	419430400	3.221275
4194304	512	1.427061	1427061	419430400	3.402379
4194304	1024	1.484851	1484851	419430400	3.540160
4194304	2048	1.385816	1385816	419430400	3.304043
4194304	4096	3.711732	3711732	419430400	8.849459
4194304	8192	3.600890	3600891	419430400	8.585192
4194304	16384	3.635460	3635460	419430400	8.667613
4194304	32768	3.704059	3704059	419430400	8.831166
4194304	65536	3.592317	3592317	419430400	8.564751
4194304	131072	3.568446	3568446	419430400	8.507839
4194304	262144	3.271752	3271751	419430400	7.800464
4194304	524288	0.959566	959566	419430400	2.287784
4194304	1048576	0.893181	893181	419430400	2.129509
4194304	2097152	0.857079	857079	419430400	2.043435
