size	stride	elapsed(s)	cycles	#accesses a[i]	 mean access time
4096	1	0.000075	77	819200	0.091543
4096	2	0.000836	836	819200	1.020762
4096	4	0.000839	839	819200	1.024449
4096	8	0.000850	851	819200	1.038160
4096	16	0.000268	270	819200	0.327299
4096	32	0.000181	181	819200	0.221300
4096	64	0.000169	169	819200	0.206433
4096	128	0.000167	167	819200	0.203473
4096	256	0.000168	168	819200	0.204550
4096	512	0.000168	168	819200	0.205245
4096	1024	0.000198	199	819200	0.242041
4096	2048	0.000272	272	819200	0.332395
8192	1	0.000028	28	1638400	0.017053
8192	2	0.000398	398	1638400	0.242808
8192	4	0.000337	337	1638400	0.205936
8192	8	0.000339	339	1638400	0.207012
8192	16	0.000339	339	1638400	0.207064
8192	32	0.000392	391	1638400	0.239011
8192	64	0.000361	360	1638400	0.220188
8192	128	0.000340	340	1638400	0.207452
8192	256	0.000363	362	1638400	0.221384
8192	512	0.000361	361	1638400	0.220217
8192	1024	0.000348	348	1638400	0.212341
8192	2048	0.000460	460	1638400	0.280582
8192	4096	0.000699	697	1638400	0.426753
16384	1	0.000058	58	3276800	0.017732
16384	2	0.000771	770	3276800	0.235247
16384	4	0.000703	702	3276800	0.214569
16384	8	0.000789	788	3276800	0.240759
16384	16	0.000794	790	3276800	0.242273
16384	32	0.000829	828	3276800	0.253121
16384	64	0.000805	805	3276800	0.245801
16384	128	0.000778	776	3276800	0.237479
16384	256	0.000720	717	3276800	0.219615
16384	512	0.000738	735	3276800	0.225221
16384	1024	0.000925	921	3276800	0.282206
16384	2048	0.000955	954	3276800	0.291384
16384	4096	0.001028	1027	3276800	0.313796
16384	8192	0.001161	1161	3276800	0.354431
32768	1	0.000111	111	6553600	0.016941
32768	2	0.001594	1593	6553600	0.243226
32768	4	0.001533	1532	6553600	0.233935
32768	8	0.001537	1537	6553600	0.234519
32768	16	0.001419	1419	6553600	0.216529
32768	32	0.001461	1461	6553600	0.223001
32768	64	0.001377	1377	6553600	0.210116
32768	128	0.001367	1367	6553600	0.208596
32768	256	0.001482	1482	6553600	0.226162
32768	512	0.001970	1968	6553600	0.300575
32768	1024	0.001891	1889	6553600	0.288572
32768	2048	0.002284	2281	6553600	0.348467
32768	4096	0.003220	3220	6553600	0.491321
32768	8192	0.001920	1921	6553600	0.292986
32768	16384	0.002066	2066	6553600	0.315322
65536	1	0.000266	266	13107200	0.020317
65536	2	0.002713	2714	13107200	0.207021
65536	4	0.003358	3357	13107200	0.256176
65536	8	0.002698	2698	13107200	0.205833
65536	16	0.002859	2859	13107200	0.218099
65536	32	0.003146	3146	13107200	0.240048
65536	64	0.006528	6528	13107200	0.498074
65536	128	0.008713	8713	13107200	0.664779
65536	256	0.009198	9196	13107200	0.701785
65536	512	0.013208	13207	13107200	1.007668
65536	1024	0.016912	16912	13107200	1.290291
65536	2048	0.016281	16280	13107200	1.242170
65536	4096	0.020535	20535	13107200	1.566689
65536	8192	0.006044	6045	13107200	0.461158
65536	16384	0.003911	3911	13107200	0.298382
65536	32768	0.004435	4435	13107200	0.338383
131072	1	0.000432	432	26214400	0.016463
131072	2	0.005494	5493	26214400	0.209565
131072	4	0.005801	5798	26214400	0.221283
131072	8	0.006165	6166	26214400	0.235194
131072	16	0.005999	5998	26214400	0.228840
131072	32	0.006620	6620	26214400	0.252542
131072	64	0.012364	12364	26214400	0.471644
131072	128	0.017980	17980	26214400	0.685894
131072	256	0.018341	18341	26214400	0.699643
131072	512	0.025343	25343	26214400	0.966778
131072	1024	0.032332	32331	26214400	1.233362
131072	2048	0.037983	37982	26214400	1.448923
131072	4096	0.050055	50054	26214400	1.909431
131072	8192	0.039701	39701	26214400	1.514473
131072	16384	0.011792	11792	26214400	0.449824
131072	32768	0.007636	7635	26214400	0.291276
131072	65536	0.008843	8843	26214400	0.337316
262144	1	0.000828	828	52428800	0.015790
262144	2	0.011547	11545	52428800	0.220241
262144	4	0.011844	11843	52428800	0.225897
262144	8	0.011050	11049	52428800	0.210760
262144	16	0.011776	11777	52428800	0.224608
262144	32	0.015124	15124	52428800	0.288472
262144	64	0.028481	28481	52428800	0.543225
262144	128	0.045534	45534	52428800	0.868501
262144	256	0.049381	49381	52428800	0.941873
262144	512	0.064304	64304	52428800	1.226494
262144	1024	0.070749	70749	52428800	1.349436
262144	2048	0.087025	87025	52428800	1.659869
262144	4096	0.112481	112480	52428800	2.145404
262144	8192	0.099290	99290	52428800	1.893798
262144	16384	0.090715	90715	52428800	1.730253
262144	32768	0.023687	23687	52428800	0.451793
262144	65536	0.015432	15432	52428800	0.294340
262144	131072	0.017557	17557	52428800	0.334871
524288	1	0.001675	1675	104857600	0.015975
524288	2	0.022937	22937	104857600	0.218741
524288	4	0.021948	21948	104857600	0.209311
524288	8	0.022108	22109	104857600	0.210840
524288	16	0.024815	24815	104857600	0.236654
524288	32	0.038957	38957	104857600	0.371524
524288	64	0.074818	74819	104857600	0.713524
524288	128	0.131789	131787	104857600	1.256837
524288	256	0.149671	149671	104857600	1.427375
524288	512	0.185043	185043	104857600	1.764709
524288	1024	0.203850	203850	104857600	1.944069
524288	2048	0.228984	228985	104857600	2.183763
524288	4096	0.217279	217279	104857600	2.072138
524288	8192	0.216022	216021	104857600	2.060144
524288	16384	0.197377	197377	104857600	1.882334
524288	32768	0.156085	156085	104857600	1.488547
524288	65536	0.048724	48724	104857600	0.464673
524288	131072	0.029983	29982	104857600	0.285936
524288	262144	0.034338	34338	104857600	0.327474
1048576	1	0.003327	3327	209715200	0.015864
1048576	2	0.044877	44877	209715200	0.213988
1048576	4	0.043323	43323	209715200	0.206579
1048576	8	0.043937	43937	209715200	0.209507
1048576	16	0.049592	49592	209715200	0.236472
1048576	32	0.077925	77925	209715200	0.371576
1048576	64	0.147904	147904	209715200	0.705261
1048576	128	0.262902	262902	209715200	1.253613
1048576	256	0.301533	301532	209715200	1.437821
1048576	512	0.373734	373734	209715200	1.782103
1048576	1024	0.420697	420697	209715200	2.006038
1048576	2048	0.447036	447035	209715200	2.131632
1048576	4096	0.427768	427767	209715200	2.039755
1048576	8192	0.433419	433418	209715200	2.066702
1048576	16384	0.437201	437200	209715200	2.084735
1048576	32768	0.386877	386877	209715200	1.844773
1048576	65536	0.317829	317829	209715200	1.515525
1048576	131072	0.097302	97302	209715200	0.463972
1048576	262144	0.059723	59723	209715200	0.284781
1048576	524288	0.068959	68959	209715200	0.328824
2097152	1	0.007133	7132	419430400	0.017006
2097152	2	0.093404	93405	419430400	0.222694
2097152	4	0.085911	85911	419430400	0.204827
2097152	8	0.086374	86374	419430400	0.205932
2097152	16	0.097124	97124	419430400	0.231562
2097152	32	0.154270	154270	419430400	0.367808
2097152	64	0.296846	296847	419430400	0.707737
2097152	128	0.519532	519533	419430400	1.238662
2097152	256	0.603429	603429	419430400	1.438688
2097152	512	0.757821	757822	419430400	1.806787
2097152	1024	0.850431	850431	419430400	2.027585
2097152	2048	0.895169	895168	419430400	2.134248
2097152	4096	0.864511	864511	419430400	2.061156
2097152	8192	0.859734	859734	419430400	2.049766
2097152	16384	0.876580	876580	419430400	2.089929
2097152	32768	0.921565	921565	419430400	2.197183
2097152	65536	0.857195	857195	419430400	2.043711
2097152	131072	0.626815	626815	419430400	1.494444
2097152	262144	0.194226	194226	419430400	0.463072
2097152	524288	0.119302	119303	419430400	0.284439
2097152	1048576	0.138220	138219	419430400	0.329541
4194304	1	0.028856	28856	838860800	0.034399
4194304	2	0.175444	175445	838860800	0.209146
4194304	4	0.171174	171174	838860800	0.204055
4194304	8	0.177551	177551	838860800	0.211657
4194304	16	0.204176	204176	838860800	0.243396
4194304	32	0.327614	327613	838860800	0.390546
4194304	64	0.610808	610808	838860800	0.728139
4194304	128	1.053881	1053881	838860800	1.256324
4194304	256	1.233977	1233976	838860800	1.471015
4194304	512	1.536993	1536993	838860800	1.832239
4194304	1024	1.720215	1720214	838860800	2.050656
4194304	2048	1.792242	1792242	838860800	2.136520
4194304	4096	1.756382	1756382	838860800	2.093771
4194304	8192	1.730602	1730601	838860800	2.063038
4194304	16384	1.728568	1728568	838860800	2.060614
4194304	32768	1.737099	1737098	838860800	2.070784
4194304	65536	2.023163	2023162	838860800	2.411798
4194304	131072	1.773854	1773854	838860800	2.114598
4194304	262144	1.526979	1526979	838860800	1.820301
4194304	524288	0.389174	389175	838860800	0.463932
4194304	1048576	0.237996	237996	838860800	0.283714
4194304	2097152	0.272880	272880	838860800	0.325298
